Radius of the sphere (R),F(R) for BCC,F(R) for FCC,F(R) for HCP
0.5,10.72241613,4.683583262,3.081913216
0.525,9.957568755,5.005455849,3.15433064
0.55,9.808989042,4.690608583,3.582573381
0.575,8.816686579,4.90038295,3.264243186
0.6,8.905336187,4.242657865,3.713733857
0.625,8.153091245,4.499109033,3.287192823
0.65,7.972543353,4.498678201,2.773461029
0.675,8.240537453,4.783676199,3.722967117
0.7,7.895788958,4.223488743,3.10483603
0.725,7.405048535,4.061780754,3.563253449
0.75,7.209822489,4.271061984,3.167344318
0.775,6.753746958,4.552377126,3.493170814
0.8,7.229562027,4.292854776,3.314327615
0.825,6.515832678,4.173057557,3.231112425
0.85,6.643010924,3.732868193,3.471874313
0.875,6.241878392,4.375792743,3.750507668
0.9,6.131883544,3.975313545,3.301851485
0.925,6.630381622,4.472091299,4.091330542
0.95,6.304325724,4.45649456,4.104381758
0.975,6.513447668,4.250940172,3.788961631
1,6.138685759,4.178248021,4.270449447
1.025,6.319677276,3.834900241,4.573540258
1.05,5.770580182,3.828869896,4.36710855
1.075,5.430619781,4.142883396,4.201113402
1.1,5.83273023,3.836683789,4.111831009
1.125,5.614912164,3.836390144,4.40996377
1.15,5.494682974,4.477961929,4.804245567
1.175,5.7454231,4.303629373,4.511189813
1.2,5.067058189,4.609571907,4.70440983
1.225,5.030663189,4.723027548,5.267959605
1.25,5.3734691,4.471822044,5.344677657
1.275,5.243008104,4.263128507,5.244874946
1.3,5.165280147,4.531565128,5.125714241
1.325,5.021658663,4.706287666,6.040595275
1.35,5.272877821,4.541283215,6.05123909
1.375,5.05052196,4.867827603,6.363820939
1.4,5.072854544,5.262737183,6.462432965
1.425,5.051509913,4.646679323,6.42083334
1.45,4.807661517,5.445727367,6.782590502
1.475,5.525709317,5.17240328,7.07972878
1.5,5.625148554,5.508044489,6.43396364
1.525,5.094428415,5.214647489,6.864398415
1.55,5.54117228,5.545069531,7.513775326
1.575,5.066624676,5.637435651,7.236495537
1.6,5.524037646,5.426506049,7.863656743
1.625,4.870706026,6.059623618,7.842993352
1.65,4.830444434,5.984440516,7.496353604
1.675,5.065822745,5.28295225,7.818171948
1.7,5.466477875,5.760802791,8.16281922
1.725,5.673441194,5.872661818,8.320205947
1.75,5.600854541,5.739255181,8.888815786
1.775,5.066632686,6.129217525,8.944688318
1.8,5.430303506,5.934313599,9.01900274
1.825,4.945150479,6.687328064,8.99758623
1.85,5.648095886,6.299499243,9.76184665
1.875,5.070442204,6.298843823,10.09722795
1.9,5.046858467,6.505215237,9.7158082
1.925,5.493574552,6.883527407,10.41504903
1.95,5.726023055,6.835055995,10.8052553
1.975,4.974785937,6.921111189,11.09942937
2,5.918497546,7.61101727,10.7145154
2.025,5.468733714,7.601229549,10.95157903
2.05,5.565988309,7.73188077,11.57244093
2.075,5.782962978,7.625120616,11.16967366
2.1,5.96033148,8.234772005,12.19561876
2.125,5.485260246,8.313366728,12.54672488
2.15,5.956774078,7.885140193,12.08890216
2.175,5.764217116,7.717609077,12.83778252
2.2,5.691344824,8.553003578,12.57979746
2.225,6.05932327,8.024507892,12.88781437
2.25,6.161281612,8.50533794,13.26097107
2.275,6.331826821,9.256628013,13.36964661
2.3,5.525255053,9.321881374,14.38055544
2.325,5.924006287,9.505370951,14.05457153
2.35,6.280764076,8.998666134,14.4764992
2.375,6.284179759,9.890626929,14.57727686
2.4,5.626122333,9.900749845,14.82460978
2.425,6.233405367,10.13876264,15.6444123
2.45,6.709911496,9.66203586,16.03213914
2.475,6.615008042,9.648123983,16.2265164
